# blok	E_blok	E_srednje	sigma_E
101	-157.8132151998	-157.8132151998	0.0000000000
102	-157.7966711815	-157.8049431907	0.2751890592
103	-157.7943716427	-157.8014193413	0.1931894987
104	-157.8134079364	-157.8044164901	0.1576590100
105	-157.8171968742	-157.8069725669	0.1383110648
106	-157.7723045546	-157.8011945649	0.1257728217
107	-157.7365422203	-157.7919585156	0.1169267632
108	-157.7629464677	-157.7883320096	0.1093871064
109	-157.7797105184	-157.7873740662	0.1036244485
110	-157.7557290744	-157.7842095670	0.0998471268
111	-157.7619556482	-157.7821864835	0.0971198759
112	-157.7336281460	-157.7781399553	0.0956354426
113	-157.6926161672	-157.7715612024	0.0951379087
114	-157.7025531041	-157.7666320525	0.0937633309
115	-157.6724987784	-157.7603565009	0.0914066559
116	-157.6621067573	-157.7542158920	0.0902639754
117	-157.7317334696	-157.7528933965	0.0899218389
118	-157.7698918393	-157.7538377545	0.0903232340
119	-157.7820415043	-157.7553221623	0.0901566708
120	-157.8130874198	-157.7582104252	0.0896155722
121	-157.8601467572	-157.7630645363	0.0885734439
122	-157.9970849399	-157.7737018273	0.0871816941
123	-157.9505210876	-157.7813896213	0.0852283502
124	-157.9021456787	-157.7864211237	0.0832828663
125	-157.9439553115	-157.7927224912	0.0814976317
126	-157.9340291348	-157.7981573621	0.0794856800
127	-157.8898007390	-157.8015515612	0.0774976578
128	-157.9620938196	-157.8072852133	0.0759782734
129	-158.0426415549	-157.8154009492	0.0743967977
130	-158.0606535365	-157.8235760355	0.0731575614
131	-158.1031891876	-157.8325958146	0.0722089028
132	-158.1190235477	-157.8415466812	0.0715776374
133	-158.2832580600	-157.8549318745	0.0722338411
134	-158.2586598002	-157.8668062253	0.0722699981
135	-158.2117946710	-157.8766630380	0.0717733048
136	-158.2321594798	-157.8865379392	0.0713625259
137	-158.2662514164	-157.8968004656	0.0706045094
138	-158.2386853188	-157.9057974354	0.0696675427
139	-158.2357712531	-157.9142583025	0.0692362812
140	-158.2844503232	-157.9235131030	0.0687940695
141	-158.1304366513	-157.9285600189	0.0680225855
142	-158.1530532826	-157.9339050966	0.0674236794
143	-158.2245671235	-157.9406646786	0.0665173523
144	-158.1005941696	-157.9442994397	0.0658153609
145	-157.8571543495	-157.9423628822	0.0651622861
146	-158.0523072927	-157.9447529781	0.0649193001
147	-158.2162087279	-157.9505286323	0.0647461768
148	-158.3742914941	-157.9593570253	0.0645737074
149	-158.4273053717	-157.9689069915	0.0646565484
150	-158.3892112611	-157.9773130769	0.0642645781
151	-158.0733664448	-157.9791964763	0.0632667392
152	-158.0827574955	-157.9811880343	0.0621836123
153	-158.0703468628	-157.9828702764	0.0611972505
154	-158.0398128828	-157.9839247691	0.0607152027
155	-158.2235688929	-157.9882819350	0.0606163096
156	-158.1374098837	-157.9909449341	0.0603826817
157	-157.9737528098	-157.9906433179	0.0598816851
158	-158.0166746141	-157.9910921333	0.0591302392
159	-157.9640790573	-157.9906342846	0.0582413652
160	-158.1819002374	-157.9938220504	0.0575549498
161	-158.1252389363	-157.9959764256	0.0571456275
162	-158.1544077442	-157.9985317695	0.0567962059
163	-158.0998617157	-158.0001401813	0.0569415022
164	-157.9609738231	-157.9995282070	0.0568695387
165	-157.9379013638	-157.9985801017	0.0571511234
166	-157.9818998314	-157.9983273703	0.0577477971
167	-157.9997401352	-157.9983484564	0.0590227048
168	-157.8380249477	-157.9959907577	0.0612857590
169	-157.9286199945	-157.9950143698	0.0622107719
170	-157.9828877455	-157.9948411323	0.0627664448
171	-157.6205510245	-157.9895694407	0.0627867671
172	-157.4254324788	-157.9817342051	0.0627034182
173	-157.5960732543	-157.9764511784	0.0624935390
174	-157.5542739788	-157.9707460811	0.0624929126
175	-157.8865494534	-157.9696234594	0.0619541834
176	-158.0657049220	-157.9708876892	0.0614034163
177	-158.0400046887	-157.9717853125	0.0609553181
178	-157.7975665477	-157.9695517386	0.0606481768
179	-157.3108023934	-157.9612131393	0.0613205917
180	-157.6294990330	-157.9570667130	0.0611457875
181	-157.6118549115	-157.9528048389	0.0611879049
182	-157.6959981263	-157.9496730497	0.0611998068
183	-157.8035016929	-157.9479119490	0.0612340861
184	-157.8239175150	-157.9464358248	0.0611662331
185	-157.9008295742	-157.9458992807	0.0610375161
186	-157.9995357155	-157.9465229602	0.0605965093
187	-157.9642941758	-157.9467272270	0.0600719819
188	-158.0135760956	-157.9474868732	0.0595260994
189	-158.1283353042	-157.9495188781	0.0590793041
190	-158.1741833922	-157.9520151505	0.0585129258
191	-158.1963872381	-157.9547005580	0.0579563001
192	-158.1693621185	-157.9570338359	0.0574002639
193	-158.1578702631	-157.9591933673	0.0568464231
194	-158.1656832844	-157.9613900686	0.0563073041
195	-158.1721984665	-157.9636091043	0.0557843885
196	-158.1360739097	-157.9654056127	0.0552676806
197	-158.1360739097	-157.9671650797	0.0547610058
198	-158.1225602878	-157.9687507451	0.0542660287
199	-158.1187487534	-157.9702658765	0.0537811138
200	-158.1183114163	-157.9717463319	0.0533055393
201	-158.1174624678	-157.9731890659	0.0528391332
202	-158.1174624678	-157.9746035110	0.0523814592
203	-158.1174624678	-157.9759904912	0.0519322742
204	-158.1174624678	-157.9773507987	0.0514913441
205	-158.1174624678	-157.9786851955	0.0510584436
206	-158.1174624678	-157.9799944151	0.0506333551
207	-158.1174624678	-157.9812791632	0.0502158689
208	-158.1174624678	-157.9825401197	0.0498057828
209	-158.1174624678	-157.9837779394	0.0494029016
210	-158.1174624678	-157.9849932533	0.0490070370
211	-158.1174624678	-157.9861866697	0.0486180070
212	-158.1174624678	-157.9873587750	0.0482356360
213	-158.1174624678	-157.9885101351	0.0478597543
214	-158.1174624678	-157.9896412959	0.0474901978
215	-158.1174624678	-157.9907527844	0.0471268080
216	-158.1174624678	-157.9918451093	0.0467694316
217	-158.1174624678	-157.9929187619	0.0464179203
218	-158.1174624678	-157.9939742170	0.0460721307
219	-158.1174624678	-157.9950119334	0.0457319239
220	-158.1174624678	-157.9960323545	0.0453971656
221	-158.1174624678	-157.9970359092	0.0450677257
222	-158.1174624678	-157.9980230121	0.0447434781
223	-158.1174624678	-157.9989940646	0.0444243008
224	-158.1174624678	-157.9999494550	0.0441100755
225	-158.1174624678	-158.0008895591	0.0438006876
226	-158.1174624678	-158.0018147409	0.0434960260
227	-158.1174624678	-158.0027253529	0.0431959828
228	-158.1174624678	-158.0036217366	0.0429004537
229	-158.1174624678	-158.0045042229	0.0426093372
230	-158.1174624678	-158.0053731325	0.0423225349
231	-158.1984311423	-158.0068468577	0.0420468509
232	-158.2730519784	-158.0088635632	0.0418047179
233	-158.1986555055	-158.0102905703	0.0415446734
234	-158.0625827967	-158.0106808108	0.0412934085
235	-157.9391975942	-158.0101513055	0.0410700239
236	-158.0149871621	-158.0101868632	0.0408423646
237	-158.0849713458	-158.0107327354	0.0406029393
238	-158.1115264827	-158.0114631249	0.0403561334
239	-157.9085549071	-158.0107227780	0.0401006629
240	-157.8050463740	-158.0092536608	0.0398607246
241	-157.7577307885	-158.0074698106	0.0397184109
242	-157.5364779646	-158.0041529666	0.0397357599
243	-157.4634967582	-158.0003721540	0.0397572278
244	-157.3774820281	-157.9960465281	0.0399216928
245	-157.2017140388	-157.9905683730	0.0402375679
246	-157.2016723472	-157.9851649756	0.0407554735
247	-157.3393875697	-157.9807719320	0.0412348108
248	-157.7107511627	-157.9789474674	0.0415415725
249	-157.7934822089	-157.9777027341	0.0417148569
250	-157.4497810877	-157.9741832564	0.0417820455
251	-157.5867857473	-157.9716177100	0.0417336645
252	-158.0223571509	-157.9719515221	0.0415681031
253	-157.6492605043	-157.9698424305	0.0414510995
254	-157.4971104827	-157.9667727425	0.0414627194
255	-157.7069408479	-157.9650964077	0.0415634314
256	-157.7825911460	-157.9639265022	0.0414953353
257	-157.8819641702	-157.9634044491	0.0413899291
258	-157.8355198602	-157.9625950530	0.0412919010
259	-157.9186839224	-157.9623188824	0.0410946532
260	-158.0206085768	-157.9626831930	0.0408941951
261	-157.9227988650	-157.9624354642	0.0406737199
262	-157.8101322627	-157.9614953210	0.0404736383
263	-157.8929650056	-157.9610748896	0.0403178137
264	-157.7610308700	-157.9598551090	0.0402617884
265	-157.7524565104	-157.9585981478	0.0401987619
266	-157.6094904503	-157.9564950894	0.0401050453
267	-157.6457206817	-157.9546341648	0.0400248536
268	-157.6519052415	-157.9528322069	0.0402144243
269	-157.8815688291	-157.9524105301	0.0402760342
270	-157.7860949757	-157.9514322033	0.0401535065
271	-157.7045104200	-157.9499882163	0.0400004554
272	-157.7079139977	-157.9485808080	0.0398831291
273	-157.3968514089	-157.9453916208	0.0399698032
274	-157.3471711535	-157.9419535721	0.0401818054
275	-157.2312545532	-157.9378924349	0.0403050381
276	-157.2462729145	-157.9339627785	0.0403620375
277	-157.3330715727	-157.9305679129	0.0403522613
278	-157.4555949793	-157.9278995257	0.0402919019
279	-157.6482579985	-157.9263372825	0.0401612822
280	-157.8603471080	-157.9259706704	0.0399627048
281	-157.9685618122	-157.9262059806	0.0397846089
282	-157.9179612918	-157.9261606801	0.0396187298
283	-157.7722201266	-157.9253194749	0.0394517212
284	-157.7613455508	-157.9244283122	0.0392988360
285	-157.7410124943	-157.9234368754	0.0391961367
286	-157.6918020135	-157.9221915267	0.0390630783
287	-157.6163275950	-157.9205558907	0.0389376757
288	-157.6031853444	-157.9188677495	0.0388081283
289	-157.8482753348	-157.9184942446	0.0386583186
290	-157.9467391193	-157.9186429019	0.0384980048
291	-157.9842359395	-157.9189863209	0.0383362341
292	-157.9366733398	-157.9190784408	0.0381814369
293	-157.8778299292	-157.9188647179	0.0380517505
294	-157.7872303234	-157.9181861901	0.0379807775
295	-157.7125341144	-157.9171315641	0.0379254625
296	-157.7127677992	-157.9160888918	0.0378882535
297	-157.7938929062	-157.9154686077	0.0378479556
298	-157.8574211342	-157.9151754386	0.0378130929
299	-157.8658635309	-157.9149276401	0.0377859050
300	-157.8085595970	-157.9143957998	0.0377768750
