# r	g(r)
0.0041617915	0.0000000000
0.0124853744	0.0000000000
0.0208089573	0.0000000000
0.0291325402	0.0000000000
0.0374561231	0.0000000000
0.0457797060	0.0000000000
0.0541032889	0.0000000000
0.0624268718	0.0000000000
0.0707504547	0.0000000000
0.0790740376	0.0000000000
0.0873976205	0.0000000000
0.0957212034	0.0000000000
0.1040447863	0.0000000000
0.1123683692	0.0000000000
0.1206919521	0.0000000000
0.1290155350	0.0000000000
0.1373391179	0.0000000000
0.1456627008	0.0000000000
0.1539862837	0.0000000000
0.1623098666	0.0000000000
0.1706334495	0.0000000000
0.1789570324	0.0000000000
0.1872806153	0.0000000000
0.1956041982	0.0000000000
0.2039277811	0.0000000000
0.2122513640	0.0000000000
0.2205749469	0.0000000000
0.2288985298	0.0000000000
0.2372221127	0.0000000000
0.2455456956	0.0000000000
0.2538692785	0.0000000000
0.2621928614	0.0000000000
0.2705164443	0.0000000000
0.2788400272	0.0000000000
0.2871636101	0.0000000000
0.2954871930	0.0000000000
0.3038107759	0.0000000000
0.3121343588	0.0000000000
0.3204579417	0.0000000000
0.3287815246	0.0000000000
0.3371051075	0.0000000000
0.3454286904	0.0000000000
0.3537522733	0.0000000000
0.3620758562	0.0000000000
0.3703994391	0.0000000000
0.3787230220	0.0000000000
0.3870466049	0.0000000000
0.3953701878	0.0000000000
0.4036937707	0.0000000000
0.4120173536	0.0000000000
0.4203409365	0.0000000000
0.4286645194	0.0000000000
0.4369881023	0.0000000000
0.4453116852	0.0000000000
0.4536352681	0.0000000000
0.4619588510	0.0000000000
0.4702824339	0.0000000000
0.4786060168	0.0000000000
0.4869295997	0.0000000000
0.4952531826	0.0000000000
0.5035767655	0.0000000000
0.5119003484	0.0000000000
0.5202239313	0.0000000000
0.5285475142	0.0000000000
0.5368710971	0.0000000000
0.5451946800	0.0000000000
0.5535182629	0.0000000000
0.5618418458	0.0000000000
0.5701654287	0.0000000000
0.5784890116	0.0000000000
0.5868125945	0.0000000000
0.5951361774	0.0000000000
0.6034597603	0.0000000000
0.6117833432	0.0000000000
0.6201069261	0.0000000000
0.6284305090	0.0000000000
0.6367540919	0.0000000000
0.6450776748	0.0000000000
0.6534012577	0.0000000000
0.6617248406	0.0000000000
0.6700484235	0.0000000000
0.6783720064	0.0000000000
0.6866955893	0.0000000000
0.6950191722	0.0000000000
0.7033427551	0.0000000000
0.7116663380	0.0000000000
0.7199899209	0.0000000000
0.7283135038	0.0000000000
0.7366370867	0.0000000000
0.7449606696	0.0000000000
0.7532842525	0.0000000000
0.7616078354	0.0000000000
0.7699314183	0.0000000000
0.7782550012	0.0000000000
0.7865785841	0.0000000000
0.7949021670	0.0000000000
0.8032257499	0.0000000000
0.8115493328	0.0000000000
0.8198729157	0.0000000000
0.8281964986	0.0000000000
