# r	g_normirano_po_unutarnjim_udaljenostima
0.0083235829	0.0000000000
0.0166471658	0.0000000000
0.0249707487	0.0000000000
0.0332943316	0.0000000000
0.0416179145	0.0000000000
0.0499414974	0.0000000000
0.0582650803	0.0000000000
0.0665886632	0.0000000000
0.0749122461	0.0000000000
0.0832358290	0.0000000000
0.0915594119	0.0000000000
0.0998829948	0.0000000000
0.1082065777	0.0000000000
0.1165301606	0.0000000000
0.1248537435	0.0000000000
0.1331773264	0.0000000000
0.1415009093	0.0000000000
0.1498244922	0.0000000000
0.1581480751	0.0000000000
0.1664716580	0.0000000000
0.1747952409	0.0000000000
0.1831188238	0.0000000000
0.1914424067	0.0000000000
0.1997659896	0.0000000000
0.2080895725	0.0000000000
0.2164131554	0.0000000000
0.2247367383	0.0000000000
0.2330603212	0.0000000000
0.2413839041	0.0000000000
0.2497074870	0.0000000000
0.2580310699	0.0000000000
0.2663546528	0.0000000000
0.2746782357	0.0000000000
0.2830018186	0.0000000000
0.2913254015	0.0000000000
0.2996489844	0.0000000000
0.3079725673	0.0000000000
0.3162961502	0.0000000000
0.3246197331	0.0000000000
0.3329433160	0.0000000000
0.3412668989	0.0000000000
0.3495904818	0.0000000000
0.3579140647	0.0000000000
0.3662376476	0.0000000000
0.3745612305	0.0000000000
0.3828848134	0.0000000000
0.3912083963	0.0000000000
0.3995319792	0.0000000000
0.4078555621	0.0000000000
0.4161791450	0.0000000000
0.4245027279	0.0000000000
0.4328263108	0.0000000000
0.4411498937	0.0000000000
0.4494734766	0.0000000000
0.4577970595	0.0000000000
0.4661206424	0.0000000000
0.4744442253	0.0000000000
0.4827678082	0.0000000000
0.4910913911	0.0000000000
0.4994149740	0.0000000000
0.5077385569	0.0000000000
0.5160621398	0.0000000000
0.5243857227	0.0000000000
0.5327093056	0.0000000000
0.5410328885	0.0000000000
0.5493564714	0.0000000000
0.5576800543	0.0000000000
0.5660036372	0.0000000000
0.5743272201	0.0000000000
0.5826508030	0.0000000000
0.5909743859	0.0000000000
0.5992979688	0.0000000000
0.6076215517	0.0000000000
0.6159451346	0.0000000000
0.6242687175	0.0000000000
0.6325923004	0.0000000000
0.6409158833	0.0000000000
0.6492394662	0.0000000000
0.6575630491	0.0000000000
0.6658866320	0.0000000000
0.6742102149	0.0000000000
0.6825337978	0.0000000000
0.6908573807	0.0000000000
0.6991809636	0.0000000000
0.7075045465	0.0000000000
0.7158281294	0.0000000000
0.7241517124	0.0000000000
0.7324752953	0.0000000000
0.7407988782	0.0000000000
0.7491224611	0.0000000000
0.7574460440	0.0000000000
0.7657696269	0.0000000000
0.7740932098	0.0000000000
0.7824167927	0.0000000000
0.7907403756	0.0000000000
0.7990639585	0.0000000000
0.8073875414	0.0000000000
0.8157111243	0.0000000000
0.8240347072	0.0000000000
0.8323582901	0.0000000000
0.8406818730	0.0000000000
0.8490054559	0.0000000000
0.8573290388	0.0000000000
0.8656526217	0.0000000000
0.8739762046	0.0000000000
0.8822997875	0.0000000000
0.8906233704	0.0000000000
0.8989469533	0.0000000000
0.9072705362	0.0000000000
0.9155941191	0.0000000000
0.9239177020	0.0000000000
0.9322412849	0.0000000000
0.9405648678	0.0000000000
0.9488884507	0.0000000000
0.9572120336	0.0000000000
0.9655356165	0.0000000000
0.9738591994	0.0000000000
0.9821827823	0.0000000000
0.9905063652	0.0000000000
0.9988299481	0.0000000000
1.0071535310	0.0000017153
1.0154771139	0.0000331736
1.0238006968	0.0000793068
1.0321242797	0.0002962575
1.0404478626	0.0006151711
1.0487714455	0.0026363489
1.0570950284	0.0046726812
1.0654186113	0.0081551620
1.0737421942	0.0140738199
1.0820657771	0.0270638099
1.0903893600	0.0373352018
1.0987129429	0.0537108071
1.1070365258	0.0722359331
1.1153601087	0.0857086463
1.1236836916	0.0971703343
1.1320072745	0.1161999580
1.1403308574	0.1164012620
1.1486544403	0.1251391802
1.1569780232	0.1268623599
1.1653016061	0.1189748173
1.1736251890	0.1202473475
1.1819487719	0.1180511103
1.1902723548	0.1074755572
1.1985959377	0.1120292302
1.2069195206	0.1026616386
1.2152431035	0.0901954313
1.2235666864	0.0884032830
1.2318902693	0.0845419968
1.2402138522	0.0717602844
1.2485374351	0.0597418892
1.2568610180	0.0553959704
1.2651846009	0.0531414062
1.2735081838	0.0419792182
1.2818317667	0.0380010923
1.2901553496	0.0342413394
1.2984789325	0.0277421979
1.3068025154	0.0281564118
1.3151260983	0.0239254454
1.3234496812	0.0206053011
1.3317732641	0.0214383715
1.3400968470	0.0168303713
1.3484204299	0.0125969872
1.3567440128	0.0125598140
1.3650675957	0.0112426898
1.3733911786	0.0076632240
1.3817147615	0.0072476002
1.3900383444	0.0088011995
1.3983619273	0.0054972321
1.4066855102	0.0045199941
1.4150090931	0.0045282006
1.4233326760	0.0027172352
1.4316562589	0.0037811073
1.4399798418	0.0034347331
1.4483034247	0.0024971318
1.4566270076	0.0032528641
1.4649505905	0.0036093827
1.4732741734	0.0011016440
1.4815977563	0.0015338702
1.4899213392	0.0009188910
1.4982449221	0.0007512071
1.5065685050	0.0006255095
1.5148920879	0.0012623913
1.5232156708	0.0004627291
1.5315392537	0.0009756994
1.5398628366	0.0002008163
1.5481864195	0.0002811935
1.5565100024	0.0002108773
1.5648335853	0.0002020277
1.5731571682	0.0001688383
1.5814807511	0.0001048662
1.5898043340	0.0001238766
1.5981279169	0.0000816138
1.6064514998	0.0000626407
1.6147750827	0.0000171173
1.6230986656	0.0000069183
1.6314222485	0.0000140306
1.6397458314	0.0000034240
1.6480694143	0.0000238470
1.6563929972	0.0000138191
1.6647165801	0.0000360614
1.6730401630	0.0000043884
1.6813637459	0.0000190081
1.6896873288	0.0000135468
1.6980109117	0.0000114456
1.7063344946	0.0000116429
1.7146580775	0.0000269510
1.7229816604	0.0000193009
1.7313052433	0.0000271907
1.7396288262	0.0000255711
1.7479524091	0.0000177898
1.7562759920	0.0000390996
1.7645995749	0.0000560476
1.7729231578	0.0001271595
1.7812467407	0.0001476595
1.7895703236	0.0001812422
1.7978939065	0.0002428595
1.8062174894	0.0003108432
1.8145410723	0.0004441329
1.8228646552	0.0004034858
1.8311882381	0.0005804258
1.8395118210	0.0009574425
1.8478354039	0.0014659219
1.8561589868	0.0018786317
1.8644825697	0.0016626973
1.8728061526	0.0023017031
1.8811297355	0.0060987775
1.8894533184	0.0043294707
1.8977769013	0.0054064788
1.9061004842	0.0084360402
1.9144240671	0.0089804951
1.9227476500	0.0128701983
1.9310712329	0.0153873744
1.9393948158	0.0164911278
1.9477183987	0.0195314280
1.9560419816	0.0223705418
1.9643655645	0.0267646281
1.9726891474	0.0298623362
1.9810127303	0.0315803754
1.9893363132	0.0339980796
1.9976598961	0.0416801012
2.0059834790	0.0453599188
2.0143070619	0.0465957261
2.0226306448	0.0428795081
2.0309542277	0.0468189993
2.0392778106	0.0498451012
2.0476013935	0.0532503060
2.0559249764	0.0527175144
2.0642485593	0.0550967783
2.0725721422	0.0544426985
2.0808957251	0.0554224774
2.0892193080	0.0476873721
2.0975428909	0.0491233085
2.1058664738	0.0446959532
2.1141900567	0.0422598403
2.1225136396	0.0394802364
2.1308372225	0.0392577125
2.1391608054	0.0379923178
2.1474843883	0.0340679757
2.1558079712	0.0284382303
2.1641315541	0.0250230580
2.1724551371	0.0261082574
2.1807787200	0.0252227784
2.1891023029	0.0238590978
2.1974258858	0.0205599891
2.2057494687	0.0212481766
2.2140730516	0.0175988284
2.2223966345	0.0204313914
2.2307202174	0.0178239259
2.2390438003	0.0214908226
2.2473673832	0.0183635439
2.2556909661	0.0232200596
2.2640145490	0.0211313231
2.2723381319	0.0260571089
2.2806617148	0.0281342533
2.2889852977	0.0305430844
2.2973088806	0.0307369746
2.3056324635	0.0344731344
2.3139560464	0.0363406169
2.3222796293	0.0393643064
2.3306032122	0.0399275284
2.3389267951	0.0380022638
2.3472503780	0.0444402131
2.3555739609	0.0446960756
2.3638975438	0.0469017416
2.3722211267	0.0467837813
2.3805447096	0.0474269886
2.3888682925	0.0459681809
2.3971918754	0.0423276426
2.4055154583	0.0438794439
2.4138390412	0.0410675897
2.4221626241	0.0394415357
2.4304862070	0.0366095868
2.4388097899	0.0342800658
2.4471333728	0.0324626707
2.4554569557	0.0288482391
2.4637805386	0.0294200497
2.4721041215	0.0285683702
2.4804277044	0.0250282923
2.4887512873	0.0221628228
2.4970748702	0.0210593376
2.5053984531	0.0194213888
2.5137220360	0.0173238689
2.5220456189	0.0154040744
2.5303692018	0.0149256775
2.5386927847	0.0130292268
2.5470163676	0.0093338775
2.5553399505	0.0094222899
2.5636635334	0.0103195976
2.5719871163	0.0088232924
2.5803106992	0.0058911721
2.5886342821	0.0056530031
2.5969578650	0.0059827928
2.6052814479	0.0040992312
2.6136050308	0.0034812147
2.6219286137	0.0030702222
2.6302521966	0.0025841648
2.6385757795	0.0021532247
2.6468993624	0.0023949559
2.6552229453	0.0015302570
2.6635465282	0.0010576821
2.6718701111	0.0011507254
2.6801936940	0.0010646484
2.6885172769	0.0007683438
2.6968408598	0.0006565935
2.7051644427	0.0004680997
2.7134880256	0.0006899685
2.7218116085	0.0002081823
2.7301351914	0.0002357058
2.7384587743	0.0002160640
2.7467823572	0.0005212275
2.7551059401	0.0000764979
2.7634295230	0.0000593886
2.7717531059	0.0000590545
2.7800766888	0.0000526637
2.7884002717	0.0000339201
2.7967238546	0.0000267156
2.8050474375	0.0000609710
2.8133710204	0.0000718434
2.8216946033	0.0000847945
2.8300181862	0.0000724891
2.8383417691	0.0000786672
2.8466653520	0.0000747960
2.8549889349	0.0000760907
2.8633125178	0.0001718000
2.8716361007	0.0002101044
2.8799596836	0.0002804292
2.8882832665	0.0004025347
2.8966068494	0.0006554449
2.9049304323	0.0008078895
2.9132540152	0.0014003534
2.9215775981	0.0016152940
2.9299011810	0.0020623570
2.9382247639	0.0023662192
2.9465483468	0.0036411708
2.9548719297	0.0034935233
2.9631955126	0.0057864100
2.9715190955	0.0059187406
2.9798426784	0.0069895138
2.9881662613	0.0092654979
2.9964898442	0.0112748801
3.0048134271	0.0126353953
3.0131370100	0.0165761458
3.0214605929	0.0191508415
3.0297841758	0.0221705327
3.0381077587	0.0259876624
3.0464313416	0.0298086009
3.0547549245	0.0322262914
3.0630785074	0.0359376027
3.0714020903	0.0409247056
3.0797256732	0.0418111682
3.0880492561	0.0464631140
3.0963728390	0.0459614752
3.1046964219	0.0523711352
3.1130200048	0.0555954301
3.1213435877	0.0589428309
3.1296671706	0.0551044438
3.1379907535	0.0601077437
3.1463143364	0.0616649771
3.1546379193	0.0599874215
3.1629615022	0.0647824379
3.1712850851	0.0588750211
3.1796086680	0.0616836130
3.1879322509	0.0600080848
3.1962558338	0.0591609342
3.2045794167	0.0563753231
3.2129029996	0.0553473301
3.2212265825	0.0543859219
3.2295501654	0.0500561519
3.2378737483	0.0488727949
3.2461973312	0.0454823303
3.2545209141	0.0430300349
3.2628444970	0.0411297691
3.2711680799	0.0335256733
3.2794916628	0.0303855766
3.2878152457	0.0294940924
3.2961388286	0.0266832334
3.3044624115	0.0234945730
3.3127859944	0.0226533268
3.3211095773	0.0173590953
3.3294331602	0.0175245423
3.3377567431	0.0134706683
3.3460803260	0.0132467782
3.3544039089	0.0104698244
3.3627274918	0.0124424538
3.3710510747	0.0100533759
3.3793746576	0.0093813056
3.3876982405	0.0083611857
3.3960218234	0.0086820270
3.4043454063	0.0077860803
3.4126689892	0.0083057012
3.4209925721	0.0085123559
3.4293161550	0.0097673318
3.4376397379	0.0086112159
3.4459633208	0.0100675633
3.4542869037	0.0096892229
3.4626104866	0.0117738369
3.4709340695	0.0135723449
3.4792576524	0.0149564621
3.4875812353	0.0162309417
3.4959048182	0.0169509573
3.5042284011	0.0193189363
3.5125519840	0.0206241836
3.5208755669	0.0221321564
3.5291991498	0.0221346595
3.5375227327	0.0221740209
3.5458463156	0.0237564067
3.5541698985	0.0265466523
3.5624934814	0.0270356227
3.5708170643	0.0293731883
3.5791406472	0.0249890949
3.5874642301	0.0267807452
3.5957878130	0.0261720185
3.6041113959	0.0268587225
3.6124349788	0.0251836794
3.6207585618	0.0263026047
3.6290821447	0.0241662064
3.6374057276	0.0240756421
3.6457293105	0.0251452465
3.6540528934	0.0242013993
3.6623764763	0.0204441476
3.6707000592	0.0194120555
3.6790236421	0.0193073282
3.6873472250	0.0176395561
3.6956708079	0.0162860604
3.7039943908	0.0133926512
3.7123179737	0.0150316128
3.7206415566	0.0113302658
3.7289651395	0.0107682698
3.7372887224	0.0101160973
3.7456123053	0.0095808591
3.7539358882	0.0081556779
3.7622594711	0.0063773826
3.7705830540	0.0055760668
3.7789066369	0.0048628543
3.7872302198	0.0050432930
3.7955538027	0.0044644357
3.8038773856	0.0025223620
3.8122009685	0.0027347117
3.8205245514	0.0020715196
3.8288481343	0.0025827270
3.8371717172	0.0018185178
3.8454953001	0.0019198154
3.8538188830	0.0010964611
3.8621424659	0.0011399463
3.8704660488	0.0007519696
3.8787896317	0.0011105579
3.8871132146	0.0008335237
3.8954367975	0.0011344162
3.9037603804	0.0008584019
3.9120839633	0.0009441209
3.9204075462	0.0010162562
3.9287311291	0.0017353531
3.9370547120	0.0019856339
3.9453782949	0.0023171772
3.9537018778	0.0034570879
3.9620254607	0.0048554587
3.9703490436	0.0044941456
3.9786726265	0.0047725096
3.9869962094	0.0054254853
3.9953197923	0.0059278626
4.0036433752	0.0076519699
4.0119669581	0.0087664108
4.0202905410	0.0092017073
4.0286141239	0.0108282822
4.0369377068	0.0124993946
4.0452612897	0.0144071569
4.0535848726	0.0158073932
4.0619084555	0.0172299608
4.0702320384	0.0183530027
4.0785556213	0.0220260965
4.0868792042	0.0231233828
4.0952027871	0.0212354536
4.1035263700	0.0235488660
4.1118499529	0.0242876925
4.1201735358	0.0275066628
4.1284971187	0.0274724418
4.1368207016	0.0315710407
4.1451442845	0.0303231025
4.1534678674	0.0327560256
